kind,base,pos,stem,derivation,pansemitic,arabic,arabic_romanization,hebrew,hebrew_romanization,arabic_meaning,hebrew_meaning,proto_root,borrowed_from,evidence_count
lexeme,batata,noun,,,batata,بَطَاطَا,baṭāṭā,בָּטָטָה,batáta,sweet potato,sweet potato (the tuber of this plant cooked as a vegetable),bṭṭ,es:batata,0
lexeme,batata,noun,,,batata,بَطَاطَة,baṭāṭa,בָּטָטָה,batáta,sweet potato,sweet potato (the tuber of this plant cooked as a vegetable),bṭṭ,tnq:batata,0
lexeme,batata,noun,,,batata,بَطَاطِس,baṭāṭis,בָּטָטָה,batáta,potato,sweet potato (the tuber of this plant cooked as a vegetable),bṭṭs,tnq:batata,0
lexeme,bawsa,noun,,,bawsa,بَوْسَة,bawsa,בּוּסָה,búsa,a kiss,a kiss,bws,,0
lexeme,baxrayn,name,,,baxrayn,الْبَحْرَيْن,al-baḥrayn,בַּחְרֵיְן,bakhréyn,Bahrain (a nation in Asia),"Bahrain (an archipelago, island, and country in West Asia in the Persian Gulf)",lbḥryn,,0
lexeme,bayada,verb,G,G,bayada,بَادَ,bāda,אָבַד,avád,"to perish, to die, to become extinct","be lost, perish",byd,,0
lexeme,bayaṣ,adj/noun,,n,bayaṣ,بَيَّاض,bayyāḍ,בֵּיצָה,betsá,seller of eggs,egg,byḍ,,1
lexeme,bayna,prep,,n,bayna,بَيْنَ,bayna,בֵּין,ben,between (“in the position or interval that separates two things”),"between, among, amid",byn,,0
lexeme,bayt,noun,,,bayt,بَيْت,bayt,בַּיִת,báyit,"house, building",house,byt,,5
lexeme,bayt maqdis,name,,n n+def,bayt hal maqdis,بَيْت الْمَقْدِس,bayt al-maqdis,בֵּית ־הַמִּקְדָּשׁ,béit-hamikdásh,the Temple in Jerusalem,Temple in Jerusalem,bythlmqds,,0
lexeme,bayṣ,noun,,n,bayṣ,بَيْض,bayḍ,בֵּיצָה,betsá,eggs,egg,byḍ,,0
lexeme,baz,noun,,n,baz,بَاز,bāz,בַּז,baz,hawk,falcon,bz,,0
lexeme,baʔa,verb,G,G,baʔa,بَاءَ,bāʔa,בָּא,ba,"to return, to come back",To come.,bʔ,,0
lexeme,baʔsaʔ,noun,,,baʔsaʔ,بَأْسَاء,baʔsāʔ,בָּאסָה,bása,"adversity, affliction, distress, calamity","bummer, disappointing experience",bʔs,,0
lexeme,baʕl,name/noun,,,baʕl,بَعْل,baʕl,בַּעַל,bá'al,"lord, master, owner, possessor","master, owner",bʕl,,1
lexeme,baṣal,noun,,qatal,baṣal,بَصَل,baṣal,בָּצָל,batsál,onion,onion,bṣl,,0
lexeme,baṭal,adj/noun,,,baṭal,بَطَل,baṭal,בָּטֵל,batél,"heroic, courageous","worthless, valueless",bṭl,,0
lexeme,baṭal,verb,D,D,baṭṭal,بَطَّلَ,baṭṭala,בִּטֵּל,bitél,"to nullify, to invalidate, to render ineffective, to rescind, to repeal, to revoke","to cancel, annul (a decision, a decree, or the like)",bṭl,,0
lexeme,baṭala,verb,tD,tD,tabaṭṭala,تَبَطَّلَ,tabaṭṭala,הִתְבַּטֵּל,hitbatél,to be lazy,to be canceled,bṭl,,0
lexeme,baṭn,noun,,qatl,baṭn,بَطْن,baṭn,בֶּטֶן,béten,"stomach, abdomen","abdomen, belly",bṭn,,0
lexeme,bia,noun,,,bia,بِيرَة,bīra,בִּירָה,birá,beer,beer,bwr,de:Bier,0
lexeme,bihima,noun,,,bihima,بَهِيمَة,bahīma,בְּהֵמָה,behemá,"beast, head of cattle","beast, animal (usually domesticated), livestock",bhm,,0
lexeme,bikar,noun,,n,bikar,بِكْر,bikr,בְּכוֹר,b'khór,firstborn child,firstborn,bkr,,1
lexeme,bila,prep,,n,bila,بِلَا,bilā,בְּלֹא,b'ló,without,without,bl,,0
lexeme,bila rus,name,,,bila rus,بِيلَارُوسِيَا,bīlārūsiyā,בֵּלָארוּס,belarús,Belarus (a country in Europe),Belarus (a country in Eastern Europe),blrsy,orv:Бѣла Русь,0
lexeme,bilarus,name,,,bilarus,بِيلَارُوس,bīlārūs,בֵּלָארוּס,belarús,synonym of بِيلَارُوسِيَا (bīlārūsiyā): Belarus (a country in Europe),Belarus (a country in Eastern Europe),blrs,be:Белару́сь,0
lexeme,bin,noun,,,bin,اِبْن,ibn,בֵּן,bén,son,son,bn,,5
lexeme,bin,noun,,,bin,بْن,bn,אִבְּן,ibn,alternative form of اِبْن (ibn),ibn,ʔbn,,5
lexeme,binaʔa,noun,,n,binaʔa,بِنَاء,bināʔ,בְּנִיָּה,bəniyyɔ̂,"building, construction (act of)","building, construction",bnʔ,,0
lexeme,bint,noun,,,bint,اِبْنَة,ibna,בַּת,bat,daughter,daughter,bn,,1
lexeme,bint,noun,,,bint,بِنْت,bint,בַּת,bat,girl,daughter,bnt,,1
lexeme,birik,noun,,n+fem,birika,بِرْكَة,birka,בְּרֵכָה,brekhá,pond,"a pond, a pool",brk,,1
lexeme,birk,verb,G,G,birk,بَرَكَ,baraka,בָּרַךְ,barákh,to kneel down,kneeled,brk,,0
lexeme,birk,noun,,,birk,رُكْبَة,rukba,בֶּרֶךְ,bérekh,knee,knee,brk,,0
lexeme,bisar,noun,,n,bisar,بُشَارَة,bušāra,בָּשָׂר,basár,what is pared off of skin,"nakedness, skin",bśr,,1
lexeme,bisar,noun,,n+fem,bisara,بِشَارَة,bišāra,בְּשׂוֹרָה,b'sorá,"good news, gospel",gospel,bśr,,0
lexeme,biskuit,noun,,,biskuit,بَسْكَوِيت,baskawīt,בִּיסְקְוִיט,bískvit,"biscuit, cookie","A biscuit: a flat, crumbly, moderately sweet cookie.",bskwt,fro:bescuit,0
lexeme,bit lixim,name,,,bit lixim,بَيْت لَحْم,bayt laḥm,בֵּית לֶחֶם,bet lékhem,"Bethlehem (a city in the West Bank, Palestine)","Bethlehem (a city in the West Bank, Palestine, believed to be the birthplace of Jesus)",bytlḥm,,0
lexeme,biʔr,noun,,,biʔr,بِئْر,biʔr,בְּאֵר,be'ér,"well, spring, water-pit",well (hole sunk into the ground),bʔr,,0
lexeme,biṭal,noun,,n+fem,biṭala,بِطَالَة,biṭāla,בַּטָּלָה,batalá,idleness,idleness,bṭl,,3
lexeme,bqaṣurama,adv,,n,bqaṣurama,قَصُرَمَا,qaṣuramā,בְּקִצּוּר,b'kitsúr,seldomly,"briefly, in short, in brief",qṣr,,0
lexeme,britannia,name,,,britannia,بِرِطَانِيَة,biriṭāniya,בְּרִיטַנְיָה,británya,"Britain (an island of Northern Europe), Britannia","Great Britain (a large island (sometimes also including some of the surrounding smaller islands) off the north-west coast of Western Europe, made up of England, Scotland, and Wales)",brṭny,la:Britannia,0
lexeme,britannia,name,,,britannia,بِرِيطانِيَا,birīṭāniyā,בְּרִיטַנְיָה,británya,"Britain (great Britain, a large island (sometimes also including some of the surrounding smaller islands) off the north-west coast of Western Europe, made up of England, Scotland, and Wales; especially (but not exclusively) during antiquity)","Great Britain (a large island (sometimes also including some of the surrounding smaller islands) off the north-west coast of Western Europe, made up of England, Scotland, and Wales)",brṭny,la:Britannia,0
lexeme,bunyan,noun,,n,bunyan,بُنْيَان,bunyān,בִּנְיָן,binyɔn,"building, structure (edifice)","building, construction",bny,,0
lexeme,buqiṣa,noun,,,buqiṣa,بُوقِيصَا,būqīṣā,בּוּקִיצָה,bukítsa,elm (Ulmus gen. et spp.),elm,bqṣ,,0
lexeme,burgiyy,noun,,,burgiyy,بُرْغِيّ,burḡiyy,בֹּרֶג,bóreg,"screw, bolt, a threaded metal fastener","A screw, a bolt: a threaded fastener.",brɣy,,0
lexeme,busr,noun,,qutl,busr,بُسْر,busr,בֹּסֶר,bóser,unripe dates,unripe fruit,bsr,,0
lexeme,butan,name,,,butan,بُوتَان,būtān,בְּהוּטָן,bután,"Bhutan (a country in South Asia, in the Himalayas)","Bhutan (a country in South Asia, in the Himalayas).",btn,en:Bhutan,0
lexeme,buṣ,noun,,,buṣ,بُزْيُون,buzyūn,בּוּץ,buts,a kind of piece of fine silk for clothing,byssus (fine linen),bzyn,,1
lexeme,byrakrasi,adj/noun,,,byrakrasi,بِيرُقْرَاطِيَّة,bīruqrāṭiyya,בִּירוֹקְרַטְיָה,berokrátya,bureaucracy,Bureaucracy.,brqrṭy,fr:bureaucratie,0
lexeme,dabiq,adj,,n,dabiq,دَبِق,dabiq,דָּבִיק,davík,"sticky, cleaving, adhesive, gooey",sticky,dbq,,1
lexeme,dabiqa,verb,G,G,dabiqa,دَبِقَ,dabiqa,דָּבַק,davák,"to stick, to stay attached, to adhere, to cleave","to cling, stick, adhere, attach",dbq,,0
lexeme,dabr,noun,,,dabr,دَبُّور,dabbūr,דְּבוֹרָה,dvorá,"wasp, hornet",bee,dbr,,0
lexeme,daktiur,noun,,,daktiur,دُكْتور,duktōr,דּוֹקְטוֹר,dóktor,doctor,doctor,dktr,fro:docteur,0
lexeme,dalar,noun,,,dalar,دُولَار,dōlār,דּוֹלָר,dólar,dollar,dollar,dlr,en:dollar,0
lexeme,daliw,noun,,n,daliw,دَلْو,dalw,דְּלִי,dli,"pail, bucket",bucket (container),dlw,,0
lexeme,dallaʔaʕ,noun,,n,dallaʔaʕ,دَلَّاع,dallāʕ,דְּלַעַת,dlá'at,watermelon,pumpkin,dlʔʕ,,0
lexeme,dam,noun,,,dam,دَم,dam,דָּם,dam,blood,blood,dm,,1
lexeme,damaʕa,verb,G,G,damaʕa,دَمَعَ,damaʕa,דָּמַע,damá',to tear (to produce tears),"to weep, to tear up",dmʕ,,0
lexeme,damʕ,noun,,n,damʕ,دَمْع,damʕ,דִּמְעָה,dim'á,tears,"tear (a drop of clear, salty liquid produced from the eyes by crying or irritation)",dmʕ,,0
lexeme,damʕ,noun,,n+fem,damʕa,دَمْعَة,damʕa,דִּמְעָה,dim'á,a tear (drop of salty liquid resulting from crying),"tear (a drop of clear, salty liquid produced from the eyes by crying or irritation)",dmʕ,,0
lexeme,daqal,noun,,n,daqal,دَقَل,daqal,דֶּקֶל,dékel,a variety of dates (fruit and tree),"date (the fruit of the date palm, Phoenix dactylifera, somewhat in the shape of an olive, containing a soft, sweet pulp and enclosing a hard kernel)",dql,,1
lexeme,daqiq,adj/noun,,n,daqiq,دَقِيق,daqīq,דַּק,dak,"little, small, tiny, minute","small, diminutive",dqq,,1
lexeme,daqiq,noun,,n+fem,daqiqa,دَقِيقَة,daqīqa,דַּקָּה,daká,minute (unit of time),minute,dqq,,2
lexeme,daqq,noun,,n,daqq,دَقّ,daqq,דַּקּוֹת,dakót,verbal noun of دَقَّ (daqqa) (form I),plural indefinite form of דַּקָּה (daká),dqq,,0
